fold num,imgid,label,feature1,feature2,feature3
0,d4547913-b1ce-4620-b078-dbf24ea71764___FREC_C.Rust 4197_final_masked.jpg,1,186,2.95698924731,1357.24890447
1,9251881a-0cf0-48e1-80c5-562704abb40c___FREC_C.Rust 3681_final_masked.jpg,1,16952,0.0855356300142,523.185853481
2,42bbd61a-bfa0-4adf-a064-407165f70ecf___FREC_C.Rust 4199_final_masked.jpg,1,23267,0.0429793269437,614.440686703
3,bc863aa7-2cb6-44f1-b060-4cd78237d7a3___FREC_C.Rust 3566_final_masked.jpg,1,13716,0,483.102593184
4,54f60420-248f-41f6-be1a-a0be7936005f___FREC_C.Rust 3801_final_masked.jpg,1,259,3.861003861,1337.50879002
5,cc887bc3-fb12-407d-9a11-d8f829e3d6a0___FREC_C.Rust 0127_final_masked.jpg,1,23479,0.0149069381149,650.582822084
6,3762c9a3-83db-44b7-88be-07c048ad293b___FREC_C.Rust 9945_final_masked.jpg,1,19041,0,604.984843016
7,503fa8ad-36cc-41ea-997c-d61727a7677c___FREC_C.Rust 3842_final_masked.jpg,1,25613,0.181548432437,671.126978397
8,1a69060b-e45e-4d95-881c-f6d1960dffcd___FREC_C.Rust 0065_final_masked.jpg,1,15288,0,491.445739031
9,edf726ff-0eff-46a5-90d3-23badf249c46___FREC_C.Rust 9972_final_masked.jpg,1,162.5,0,1441.3494097
0,78821840-5d27-43ae-b830-c54e9f84432d___FREC_C.Rust 9891_final_masked.jpg,1,9037.5,0.193637621024,507.570629478
1,3c412dc8-dbe2-43db-92ba-28ce72f835f6___FREC_C.Rust 9930_final_masked.jpg,1,17661.5,0.0226481329445,553.913775325
2,e908463e-59ee-4eac-b1c9-4a79850030bc___FREC_C.Rust 9980_final_masked.jpg,1,173,2.60115606936,1362.47935247
3,9360a196-fc3f-495e-ab9b-1803bcd87921___FREC_C.Rust 3818_final_masked.jpg,1,20217,8.14413612306,662.440686703
4,e1140e29-f2c5-43ca-b69c-981f278d0b86___FREC_C.Rust 3569_final_masked.jpg,1,17814.5,0.0196469168374,568.055910707
